Code,deaths,2018 people per sq. km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg
E06000001,20,997,25985.0,41.8,7.617911480000001,14.359226399999997,2.8111392200000003,11.625292599999998,20.2068392
E06000002,60,2608,22878.0,36.2,8.34228558,20.537654000000003,2.240946536,12.522083,30.628742799999998
E06000003,26,558,23236.0,45.0,7.74807348,8.440612640000001,3.79574716,12.845976199999999,11.273612340000003
E06000004,26,962,26622.0,40.4,8.03817982,16.408540600000002,2.6702927439999997,12.169144400000002,23.435382999999998
E06000005,14,540,26908.0,43.1,7.3687135,12.55245052,2.76380648,11.19963856,17.3611852
E06000006,28,1624,26328.0,41.0,9.27177978,18.186900600000005,1.8881689619999995,13.474783400000002,26.517711400000003
E06000007,41,1160,29842.0,42.2,9.03039312,19.0586154,1.652935578,13.161377999999996,28.130697399999995
E06000008,18,1087,22198.0,36.3,8.018330000000002,13.623594120000002,2.064381492,11.889376880000002,19.114973
E06000009,20,3997,21181.0,43.5,8.002610579999999,11.43249604,2.4138481159999996,11.28638974,15.626715
E06000010,21,3648,20562.0,35.6,10.4394511,21.723093400000003,2.272685016,15.850196,33.243922600000005
E06000011,38,141,,48.8,8.53819036,7.55718286,3.8717963780000004,14.793422800000002,10.056332220000002
E06000012,13,833,24119.0,42.4,9.5845868,14.123219800000001,3.33944102,15.346354400000001,20.0075886
E06000013,9,203,25417.0,44.1,9.417596999999999,13.4731302,2.952531512,14.901642999999998,19.052474600000004
E06000014,27,772,25786.0,37.6,8.49947708,15.798081,2.7839459399999997,12.7946248,22.5953808
E06000015,98,3296,28529.0,36.9,11.31960878,23.654537199999996,1.673621276,16.3389314,36.757535000000004
E06000016,65,4843,20734.0,31.6,11.439728539999999,25.634193600000003,1.763921826,16.711134400000002,40.79956179999999
E06000017,2,104,24740.0,47.0,9.17732082,8.788581180000001,3.4863004799999997,14.105358200000001,11.885163439999998
E06000018,49,4437,22898.0,29.7,11.358993680000001,26.225828999999997,1.55123435,16.7016804,42.1137878
E06000019,18,88,24950.0,47.0,8.69720904,6.33577584,3.9056395279999996,13.8168514,8.322226220000001
E06000020,20,612,23856.0,39.4,8.42819988,9.2046164,3.594051296,13.306339,12.423963259999999
E06000021,31,2738,24502.0,37.7,9.576287540000001,20.1841432,1.847642926,14.135829000000001,29.9607942
