,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,pm25_5yAvg,no2_5yAvg,o3_5yAvg,pm10_5yAvg,nox_5yAvg,cases,earnings_5ya.x,pop_dens_5ya,age_5ya.x,earnings_5ya.y,age_5ya.y,earnings_5ya,age_5ya,Area code,Cumulative lab-confirmed cases
0,E06000001,20,997,25985,41.8,7.617911500000001,14.359226000000001,2.8111393,11.625292,20.20684,79,24887.4,992,41.8,24887.4,41.8,24887.4,41.8,E06000001,79
1,E06000001,20,997,25985,41.8,7.617911500000001,14.359226000000001,2.8111393,11.625292,20.20684,79,24887.4,992,41.8,24887.4,41.8,24887.4,41.8,E06000001,79
2,E06000002,60,2608,22878,36.2,8.3422855,20.537653,2.2409465,12.522083,30.628742,272,21543.4,2601,36.4,21543.4,36.4,21543.4,36.4,E06000002,272
3,E06000002,60,2608,22878,36.2,8.3422855,20.537653,2.2409465,12.522083,30.628742,272,21543.4,2601,36.4,21543.4,36.4,21543.4,36.4,E06000002,272
4,E06000003,26,558,23236,45.0,7.7480735,8.440612699999999,3.7957471,12.845976,11.273613099999999,158,22960.2,555,44.7,22960.2,44.7,22960.2,44.7,E06000003,158
5,E06000003,26,558,23236,45.0,7.7480735,8.440612699999999,3.7957471,12.845976,11.273613099999999,158,22960.2,555,44.7,22960.2,44.7,22960.2,44.7,E06000003,158
6,E06000004,26,962,26622,40.4,8.0381799,16.408541,2.6702927000000005,12.169144000000001,23.435384,199,24847.8,957,40.3,24847.8,40.3,24847.8,40.3,E06000004,199
7,E06000004,26,962,26622,40.4,8.0381799,16.408541,2.6702927000000005,12.169144000000001,23.435384,199,24847.8,957,40.3,24847.8,40.3,24847.8,40.3,E06000004,199
8,E06000005,14,540,26908,43.1,7.3687135999999995,12.552449000000001,2.7638065,11.199637,17.361185,125,25761.8,539,42.6,25761.8,42.6,25761.8,42.6,E06000005,125
9,E06000005,14,540,26908,43.1,7.3687135999999995,12.552449000000001,2.7638065,11.199637,17.361185,125,25761.8,539,42.6,25761.8,42.6,25761.8,42.6,E06000005,125
10,E06000006,28,1624,26328,41.0,9.2717799,18.1869,1.8881689999999998,13.474782999999999,26.517709999999997,199,25255.6,1614,40.8,25255.6,40.8,25255.6,40.8,E06000006,199
11,E06000006,28,1624,26328,41.0,9.2717799,18.1869,1.8881689999999998,13.474782999999999,26.517709999999997,199,25255.6,1614,40.8,25255.6,40.8,25255.6,40.8,E06000006,199
