Unnamed: 0,Code,Mean_ann_earnings,median_age_2018,Name,2018 people per sq. km,deaths,lat,lon
1,E06000001,25985.0,41.8,Hartlepool,997,20,54.6857276,-1.2093696
2,E06000002,22878.0,36.2,Middlesbrough,2608,60,54.5760419,-1.2344047
3,E06000003,23236.0,45.0,Redcar and Cleveland,558,26,54.5679056,-1.0054963
4,E06000004,26622.0,40.4,Stockton-on-Tees,962,26,54.564094,-1.3129164
0,E06000005,26908.0,43.1,Darlington,540,14,54.5242081,-1.5555812
14,E06000006,26328.0,41.0,Halton,1624,28,53.3538525,-2.7427829
15,E06000007,29842.0,42.2,Warrington,1160,41,53.3899497,-2.5943178
12,E06000008,22198.0,36.3,Blackburn with Darwen,1087,18,53.6991769,-2.4709001
13,E06000009,21181.0,43.5,Blackpool,3997,20,53.8182212,-3.0564845
52,E06000010,20562.0,35.6,"Kingston upon Hull, City of",3648,21,53.7435722,-0.3394758
51,E06000011,,48.8,East Riding of Yorkshire,141,38,53.9112323,-0.5813105
53,E06000012,24119.0,42.4,North East Lincolnshire,833,13,53.5368033,-0.093681
54,E06000013,25417.0,44.1,North Lincolnshire,203,9,53.5897441,-0.602323
55,E06000014,25786.0,37.6,York,772,27,53.9590555,-1.0815361
72,E06000015,28529.0,36.9,Derby,3296,98,52.9212617,-1.4761491
73,E06000016,20734.0,31.6,Leicester,4843,65,52.6361398,-1.1330789
75,E06000017,24740.0,47.0,Rutland,104,2,52.6423036,-0.6632643
74,E06000018,22898.0,29.7,Nottingham,4437,49,52.9534193,-1.1496461
112,E06000019,24950.0,47.0,"Herefordshire, County of",88,18,52.083333,-2.75
114,E06000020,23856.0,39.4,Telford and Wrekin,612,20,52.7214452,-2.5008624
113,E06000021,24502.0,37.7,Stoke-on-Trent,2738,31,53.0162014,-2.1812607
285,E06000022,30783.0,38.2,Bath and North East Somerset,555,34,51.3563238,-2.4866614
286,E06000023,28065.0,32.5,"Bristol, City of",4224,62,51.4538022,-2.5972985
287,E06000024,29897.0,45.9,North Somerset,572,19,51.3966305,-2.7691289
289,E06000025,27813.0,40.7,South Gloucestershire,569,52,51.5491916,-2.4809528
288,E06000026,25021.0,38.3,Plymouth,3296,21,50.3712659,-4.1425658
291,E06000027,21710.0,48.6,Torbay,2159,16,50.446247,-3.5394998
290,E06000030,28230.0,39.8,Swindon,965,41,51.5613683,-1.7856853
143,E06000031,26233.0,36.5,Peterborough,585,17,52.5725769,-0.2427336
